,NVDA_bollinger_bb25_std20_rsi14_os40_ob55_sl5,NVDA_bollinger_bb25_std20_rsi14_os40_ob60_sl5,NVDA_bollinger_bb25_std20_rsi14_os40_ob65_sl5,NVDA_bollinger_bb25_std20_rsi7_os35_ob55_sl5,NVDA_bollinger_bb25_std20_rsi7_os35_ob60_sl5,NVDA_bollinger_bb25_std20_rsi7_os35_ob65_sl5,NVDA_bollinger_bb25_std20_rsi7_os40_ob65_sl5,NVDA_bollinger_bb25_std20_rsi7_os40_ob55_sl5,NVDA_bollinger_bb25_std20_rsi7_os40_ob60_sl5,NVDA_reversion_rsi7_os35_ob65_sl5_ema200,NVDA_reversion_rsi7_os35_ob60_sl5_ema200,NVDA_bollinger_bb25_std20_rsi7_os30_ob55_sl5,NVDA_bollinger_bb25_std20_rsi7_os30_ob60_sl5,NVDA_bollinger_bb25_std20_rsi7_os30_ob65_sl5,NVDA_reversion_rsi7_os35_ob60_sl5,NVDA_bollinger_bb15_std15_rsi14_os40_ob55_sl5,NVDA_bollinger_bb15_std15_rsi14_os40_ob60_sl5,NVDA_bollinger_bb15_std15_rsi14_os40_ob65_sl5,NVDA_bollinger_bb15_std15_rsi7_os35_ob55_sl5,NVDA_bollinger_bb15_std15_rsi7_os35_ob60_sl5,NVDA_bollinger_bb15_std15_rsi7_os35_ob65_sl5,NVDA_bollinger_bb15_std15_rsi7_os40_ob55_sl5,NVDA_bollinger_bb15_std15_rsi7_os40_ob60_sl5,NVDA_bollinger_bb15_std15_rsi7_os40_ob65_sl5
NVDA_bollinger_bb25_std20_rsi14_os40_ob55_sl5,1.0,1.0,1.0,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0017631536590623834,-0.0016395176328060518,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0019450031394884838,1.0,1.0,1.0,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606
NVDA_bollinger_bb25_std20_rsi14_os40_ob60_sl5,1.0,1.0,1.0,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0017631536590623834,-0.0016395176328060518,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0019450031394884838,1.0,1.0,1.0,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606
NVDA_bollinger_bb25_std20_rsi14_os40_ob65_sl5,1.0,1.0,1.0,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0017631536590623834,-0.0016395176328060518,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0019450031394884838,1.0,1.0,1.0,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606
NVDA_bollinger_bb25_std20_rsi7_os35_ob55_sl5,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0,0.0843746113709435,0.05207935391017085,1.0,1.0,1.0,0.037696223249447186,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os35_ob60_sl5,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0,0.0843746113709435,0.05207935391017085,1.0,1.0,1.0,0.037696223249447186,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os35_ob65_sl5,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0,0.0843746113709435,0.05207935391017085,1.0,1.0,1.0,0.037696223249447186,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os40_ob65_sl5,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0,0.0843746113709435,0.05207935391017085,1.0,1.0,1.0,0.037696223249447186,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os40_ob55_sl5,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0,0.0843746113709435,0.05207935391017085,1.0,1.0,1.0,0.037696223249447186,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os40_ob60_sl5,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0,0.0843746113709435,0.05207935391017085,1.0,1.0,1.0,0.037696223249447186,-0.0024777318359864606,-0.0024777318359864606,-0.0024777318359864606,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_reversion_rsi7_os35_ob65_sl5_ema200,-0.0017631536590623834,-0.0017631536590623834,-0.0017631536590623834,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.0843746113709435,1.0,0.3942862654452617,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.2983836401032798,-0.0017631536590623834,-0.0017631536590623834,-0.0017631536590623834,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.0843746113709435,0.0843746113709435
