,NVDA_bollinger_bb25_std20_rsi14_os40_ob55_sl5,NVDA_bollinger_bb25_std20_rsi14_os40_ob60_sl5,NVDA_bollinger_bb25_std20_rsi14_os40_ob65_sl5,NVDA_bollinger_bb25_std20_rsi7_os35_ob55_sl5,NVDA_bollinger_bb25_std20_rsi7_os35_ob60_sl5,NVDA_bollinger_bb25_std20_rsi7_os35_ob65_sl5,NVDA_bollinger_bb25_std20_rsi7_os40_ob65_sl5,NVDA_bollinger_bb25_std20_rsi7_os40_ob55_sl5,NVDA_bollinger_bb25_std20_rsi7_os40_ob60_sl5,NVDA_reversion_rsi7_os35_ob65_sl5_ema200,NVDA_reversion_rsi7_os35_ob60_sl5_ema200,NVDA_bollinger_bb25_std20_rsi7_os30_ob55_sl5,NVDA_bollinger_bb25_std20_rsi7_os30_ob60_sl5,NVDA_bollinger_bb25_std20_rsi7_os30_ob65_sl5,NVDA_reversion_rsi7_os35_ob60_sl5,NVDA_bollinger_bb15_std15_rsi14_os40_ob55_sl5,NVDA_bollinger_bb15_std15_rsi14_os40_ob60_sl5,NVDA_bollinger_bb15_std15_rsi14_os40_ob65_sl5,NVDA_bollinger_bb15_std15_rsi7_os35_ob55_sl5,NVDA_bollinger_bb15_std15_rsi7_os35_ob60_sl5,NVDA_bollinger_bb15_std15_rsi7_os35_ob65_sl5,NVDA_bollinger_bb15_std15_rsi7_os40_ob55_sl5,NVDA_bollinger_bb15_std15_rsi7_os40_ob60_sl5,NVDA_bollinger_bb15_std15_rsi7_os40_ob65_sl5
NVDA_bollinger_bb25_std20_rsi14_os40_ob55_sl5,1.0,1.0,1.0,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.001057197900985079,-0.0014800770613791108,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.0015085005863874742,1.0,1.0,1.0,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244
NVDA_bollinger_bb25_std20_rsi14_os40_ob60_sl5,1.0,1.0,1.0,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.001057197900985079,-0.0014800770613791108,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.0015085005863874742,1.0,1.0,1.0,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244
NVDA_bollinger_bb25_std20_rsi14_os40_ob65_sl5,1.0,1.0,1.0,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.001057197900985079,-0.0014800770613791108,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.0015085005863874742,1.0,1.0,1.0,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244
NVDA_bollinger_bb25_std20_rsi7_os35_ob55_sl5,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0,0.11610401922759149,0.05637219006367904,1.0,1.0,1.0,0.04968599878705083,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os35_ob60_sl5,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0,0.11610401922759149,0.05637219006367904,1.0,1.0,1.0,0.04968599878705083,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os35_ob65_sl5,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0,0.11610401922759149,0.05637219006367904,1.0,1.0,1.0,0.04968599878705083,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os40_ob65_sl5,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0,0.11610401922759149,0.05637219006367904,1.0,1.0,1.0,0.04968599878705083,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os40_ob55_sl5,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0,0.11610401922759149,0.05637219006367904,1.0,1.0,1.0,0.04968599878705083,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_bollinger_bb25_std20_rsi7_os40_ob60_sl5,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0,0.11610401922759149,0.05637219006367904,1.0,1.0,1.0,0.04968599878705083,-0.00213777813789244,-0.00213777813789244,-0.00213777813789244,1.0,1.0,1.0,1.0,1.0,1.0
NVDA_reversion_rsi7_os35_ob65_sl5_ema200,-0.001057197900985079,-0.001057197900985079,-0.001057197900985079,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.11610401922759149,1.0,0.5238216027364098,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.4652027953863784,-0.001057197900985079,-0.001057197900985079,-0.001057197900985079,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.11610401922759149,0.11610401922759149
